The Staff Engineer's Path,A Guide for Individual Contributors Navigating Growth and Change, Tanya Reilly,1098118731,978-1098118730,2022-10-25,1,Yes,No,4.7,189,$31.99,,,,,,,,,,,,,,
The Staff Engineer's Path,A Guide for Individual Contributors Navigating Growth and Change, Tanya Reilly,1098118731,978-1098118730,2022-10-25,1,No,No,4.7,195,$31.99,,,,,,,,,,,,,,
Cracking the Coding Interview,189 Programming Questions and Solutions,Gayle Laakmann McDowell,984782869,978-0984782857,2015-07-01,6,Yes,No,4.7,8334,$33.21,,,,,,,,,,,,,,
Cracking the Coding Interview,189 Programming Questions and Solutions, Gayle Laakmann McDowell,984782869,978-0984782857,2015-07-01,6,No,Q,4.7,8356,$32.87,,,,,,,,,,,,,,
"Python Crash Course, 3rd Edition","A Hands-On, Project-Based Introduction to Programming",Eric Matthes,1718502702,978-1718502703,2023-01-10,3,Yes,No,4.8,165,$30.61,,,,,,,,,,,,,,
"Python Crash Course, 3rd Edition","A Hands-On, Project-Based Introduction to Programming", Eric Matthes,1718502702,978-1718502703,2023-01-10,3,Yes,No,4.8,199,$30.61,,,,,,,,,,,,,,
The Pragmatic Programmer,"20th Anniversary Edition, 2nd Edition: Your Journey to Mastery",David Thomas,,978-0135957059,2019-09-13,2,Yes,No,4.8,2521,$38.00,,,,,,,,,,,,,,
The Pragmatic Programmer,"Your Journey To Mastery, 20th Anniversary Edition (2nd Edition)",David Thomas,135957052,978-0135957059,2019-09-13,2,Yes,No,4.8,2522,$38.00,,,,,,,,,,,,,,
System Design Interview – An Insider's Guide,Volume 2, Alex Xu,1736049119,978-1736049112,2022-03-11,,Yes,No,4.7,1029,$33.45,,,,,,,,,,,,,,
System Design Interview – An insider's guide,, Alex Xu,,"979-8664653403
"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners,Al Sweigart,1593279922,978-1593279929,2019-11-12,2,Yes,No,4.7,2858,$29.99,,,,,,,,,,,,,,
"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners , Al Sweigart,1593279922,978-1593279929,2019-11-12,2,Yes,No,4.7,2858,$29.99,,,,,,,,,,,,,,
Design Patterns,Elements of Reusable Object-Oriented Software,Erich Gamma,201633612,978-0201633610,1994-10-31,1,Yes,No,4.7,2321,$45.32,,,,,,,,,,,,,,
Design Patterns,Elements of Reusable Object-Oriented Software,Erich Gamma,201633612,978-0201633610,1994-10-31,1,Yes,No,4.7,2332,$39.90,,,,,,,,,,,,,,
Design Patterns,Elements of Reusable Object-Oriented Software,Erich Gamma,201633612,978-0201633610,1994-10-31,1,Yes,No,4.7,2332,$39.90,,,,,,,,,,,,,,
Python Programming for Beginners,The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!, Philip Robbins,,979-8376161821,2023-02-04,,Yes,No,4.8,2187,$23.72,,,,,,,,,,,,,,
Python Programming for Beginners,The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,Philip Robbins,,979-8376161821,2023-02-04,1,Yes,No,4.8,2188,$23.72,,,,,,,,,,,,,,
Python Programming for Beginners,8 in 1: The Ultimate Step-by-Step Guide to Create Your Business Projects Immediately,Chad Knowles ,,979-8361840960,2022-11-02,1,Yes,No,4.9,125,$21.97,,,,,,,,,,,,,,
Python for Data Analysis,"Data Wrangling with pandas, NumPy, and Jupyter",Wes McKinney,109810403X,978-1098104030,2022-09-20,3,Yes,No,4.5,112,$36.18,,,,,,,,,,,,,,
Python for Data Analysis,"A Beginners Guide to Master the Fundamentals of Data Science and Data Analysis by Using Pandas, Numpy and Ipython (Programming Languages for Beginners)",Brady Ellison,,979-8463514271,2021-08-26,1,No,No,4.3,30,$9.97,,,,,,,,,,,,,,
Python QuickStart Guide,The Simplified Beginner's Guide to Python Programming Using Hands-On Projects and Real-World Applications,Robert Oliver,163610035X,978-1636100357,2023-04-22,1,Yes,No,4,6,$23.39,,,,,,,,,,,,,,
Python QuickStart Guide,The Simplified Beginner's Guide to Python Programming Using Hands-On Projects and Real-World Applications, Robert Oliver,163610035X,978-1636100357,2023-04-22,1,No,No,4.5,21,$23.39,,,,,,,,,,,,,,
Python Programming and SQL,5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming),Mark Reed ,,979-8373278850,2023-01-10,1,Yes,No,4.9,1191,$38.81,,,,,,,,,,,,,,
Python Programming and SQL,5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming),Mark Reed,,979-8373278850,2023-01-10,1,Yes,No,4.9,1991,$38.81,,,,,,,,,,,,,,
Python Programming and SQL,5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2023) (Computer Programming),Mark Reed,,979-8373278850,2023-01-10,1,Yes,No,4.8,1210,$38.82,,,,,,,,,,,,,,
Python Programming and SQL,The Definitive Guide for Beginners to Learn Python and SQL in 7 Days with Step-by-Step Guidance and Hands-On Exercises,Philip Robbins,,979-8393423469,2023-05-03,1,NO,NO,5,145,$11.97,,,,,,,,,,,,,,
EXCEL 2023,"From Beginner to Expert | The Illustrative Guide to Master All The Essential Functions and Formulas in Just 7 Days With Step-by-Step Tutorials, Practical Examples, Tips & Tricks",Richard Wilson ,,979-8367981933,2022-12-11,1,Yes,No,4.6,1777,$14.97,,,,,,,,,,,,,,
Excel 2023,he Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials,Arthur Fletcher,,979-8376048177,2023-02-03,1,No,No,4.9,329,$17.99,,,,,,,,,,,,,,
EXCEL 2023,"From Beginner to Expert | The Illustrative Guide to Master All The Essential Functions and Formulas in Just 7 Days With Step-by-Step Tutorials, Practical Examples, Tips & Tricks",Richard Wilson ,,979-8367981933,2022-12-11,1,Yes,No,4.6,1773,$14.97,,,,,,,,,,,,,,
Grokking Algorithms,An Illustrated Guide for Programmers and Other Curious People,Aditya Bhargava,1617292230,978-1617292231,2016-05-01,1,Yes,No,4.6,1281,$35.99,,,,,,,,,,,,,,
Grokking Algorithms,An Illustrated Guide for Programmers and Other Curious People,Aditya Bhargava,1617292230,978-1617292231,2016-05-01,1,No,No,4.6,1289,$35.99,,,,,,,,,,,,,,
Excel,"The Complete Illustrative Guide for Beginners to Learning any Fundamental, Formula, Function and Chart in Less than 5 Minutes with Simple and Real-Life Examples",Nigel Tillery,,979-8824373264,2022-05-23,1,Yes,No,4.4,1543,$22.34,,,,,,,,,,,,,,
Excel,The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials, Leonard J. Ledger,,979-8444443675,2022-04-01,1,Yes,No,4.3,997,$18.74,,,,,,,,,,,,,,
Excel,"The Complete Illustrative Guide for Beginners to Learning any Fundamental, Formula, Function and Chart in Less than 5 Minutes with Simple and Real-Life Examples",Nigel Tillery,,979-8824373264,2022-05-23,1,Yes,NO,4.4,1568,$19.57,,,,,,,,,,,,,,
"Introduction to Algorithms, fourth edition",,Thomas H. Cormen,026204630X,978-0262046305,2022-04-05,1,Yes,No,4.4,353,$115.82,,,,,,,,,,,,,,
"Introduction to Algorithms, fourth edition",, Thomas H. Cormen,026204630X,978-0262046305,2022-04-05,4,Yes,No,4.4,367,$112.27,,,,,,,,,,,,,,
Rust Web Programming,"A hands-on guide to developing, packaging, and deploying fully functional Rust web applications, 2nd Edition",Maxwell Flitton,1803234695,978-1803234694,2023-01-27,2,Yes,No,5,4,$44.99,,,,,,,,,,,,,,
Rust Web Programming,"A hands-on guide to developing, packaging, and deploying fully functional Rust web applications, 2nd Edition",Maxwell Flitton,1803234695,978-1803234694,2023-01-27,2,No,No,5,5,$44.99,,,,,,,,,,,,,,
Command-Line Rust,A Project-Based Primer for Writing Rust CLIs,Ken Youens-Clark,1098109430,978-1098109431,2022-02-22,1,Yes,No,4.5,37,$42.49,,,,,,,,,,,,,,
Command-Line Rust,A Project-Based Primer for Writing Rust CLIs,Ken Youens-Clark,1098109430,978-1098109431,2022-02-22,1,No,No,4.4,38,$42.49,,,,,,,,,,,,,,
Python All-in-One For Dummies (For Dummies (Computer/Tech)),,John C. Shovic,1119787602,978-1119787600,2021-04-09,2,No,No,4.5,280,$29.99,,,,,,,,,,,,,,
Python All-In-One For Dummies,,John C. Shovic,1119557593,978-1119557593,2019-05-07,1,No,No,4.5,288,$5.51,,,,,,,,,,,,,,
Code,The Hidden Language of Computer Hardware and Software,Charles Petzold,137909101,978-0137909100,2022-08-07,2,No,No,4.8,278,$35.99,,,,,,,,,,,,,,
Code,The Hidden Language of Computer Hardware and Software, Charles Petzold,137909101,978-0137909100,2022-08-07,2,No,No,4.8,270,$35.99,,,,,,,,,,,,,,
Expert Python Programming,"Master Python by learning the best coding practices and advanced programming concepts, 4th Edition",Michal Jaworski ,1801071101,978-1801071109,2021-05-28,1,No,No,4.5,64,$39.94,,,,,,,,,,,,,,
Expert Python Programming,"Master Python by learning the best coding practices and advanced programming concepts, 4th Edition",Michal Jaworski,1801071101,Publisher,2021-05-28,4,No,No,4.5,65,$39.94,,,,,,,,,,,,,,
Java,The Ultimate Beginner's Guide to Learn Java Quickly With No Prior Experience (Computer Programming),Mark Reed,,979-8387893131,2023-03-21,1,No,No,5,160,$24.99,,,,,,,,,,,,,,
Java,The Ultimate Beginner's Guide to Learn Java Quickly With No Prior Experience (Computer Programming), Mark Reed,,979-8387893131,21-Mar-23,1,No,No,5,162,$24.99 ,,,,,,,,,,,,,,
C#," books in 1 - The Ultimate Beginner, Intermediate & Advanced Guides to Master C# Programming Quickly with No Experience (Computer Programming)",Mark Reed,,979-8351212449,2022-09-06,1,No,No,4.4,167,$29.43,,,,,,,,,,,,,,
C#,"3 books in 1 - The Ultimate Beginner, Intermediate & Advanced Guides to Master C# Programming Quickly with No Experience",Mark Reed,,979-8351212449,2022-09-06,1,No,No,4.4,172,$24.69,,,,,,,,,,,,,,
SharePoint Architect's Planning Guide,Create reusable architecture and governance to support collaboration with SharePoint and Microsoft 365,Patrick Tucker,1803249366,978-1803249360,2022-08-30,1,No,No,4.8,12,$34.99,,,,,,,,,,,,,,
SharePoint Architect's Planning Guide,Create reusable architecture and governance to support collaboration with SharePoint and Microsoft 365, Patrick Tucker,1803249366,978-1803249360,2022-08-30,1,No,No,4.8,12,$34.99,,,,,,,,,,,,,,
"The Elements of Computing Systems, second edition",Building a Modern Computer from First Principles,Noam Nisan,262539802,978-0262539807,2021-06-15,2,No,No,4.7,163,$35.49,,,,,,,,,,,,,,
"The Elements of Computing Systems, second edition", Building a Modern Computer from First Principles,Noam Nisan,0262539802,978-0262539807,2021-06-15,2,No,No,4.7,163,$40.00,,,,,,,,,,,,,,
Developing Solutions for Microsoft Azure AZ-204 Exam Guide,Discover the essentials for success when developing and maintaining cloud-based solutions on Azure,Paul Ivey,1803237066,978-1803237060,2022-10-19,1,No,No,4.7,13,$49.99,,,,,,,,,,,,,,
Developing Solutions for Microsoft Azure AZ-204 Exam Guide,Discover the essentials for success when developing and maintaining cloud-based solutions on Azure,Paul Ivey,1803237066,978-1803237060,2022-10-19,1,No,No,4.7,13,$49.99,,,,,,,,,,,,,,
Developing Solutions for Microsoft Azure AZ-204 Exam Guide,Discover the essentials for success when developing and maintaining cloud-based solutions on Azure, Paul Ivey,1803237066,978-1803237060,2022-10-19,1,No,No,4.7,13,$49.99,,,,,,,,,,,,,,
Blue Fox,Arm Assembly Internals and Reverse Engineering,Maria Markstedter,1119745306,978-1119745303,2023-04-11,1,No,No,4.9,17,$32.19,,,,,,,,,,,,,,
Blue Fox,Arm Assembly Internals and Reverse Engineering,Maria Markstedter,1119745306,978-1119745303,2023-04-11,1,Yes,No,4.9,22,$32.20,,,,,,,,,,,,,,
"Deep Learning with Python, Second Edition",,Francois Chollet,1617296864,978-1617296864,2021-12-21,1,No,No,,,,,,,,,,,,,,,,,
"Deep Learning with Python, Second Edition",,Francois Chollet,1617296864,978-1617296864,2021-12-21,2,No,No,4.7,254,$47.99,,,,,,,,,,,,,,
"Deep Learning with Python, Second Edition",,Francois Chollet,1617296864,978-1617296864,2021-12-21,2,no,No,4.7,254,$47.99,,,,,,,,,,,,,,
The Road to React,Your journey to master plain yet pragmatic React.js,Robin Wieruch,,"978-1720043997
The Road to React,Your journey to master plain yet pragmatic React.js,Robin Wieruch,,978-1720043997,2018-09-14,1,No,No,4.4,615,$29.99,,,,,,,,,,,,,,
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide,The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,1803240636,978-1803240633,2022-11-25,1,No,No,4.3,16,$44.99,,,,,,,,,,,,,,
Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide,The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,1803240636,978-1803240633,2022-11-25,1,No,No,4.3,16,$44.99,,,,,,,,,,,,,,
Age of Invisible Machines,A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers, Robb Wilson,1119899923,978-1119899921,2022-09-27,1,No,No,4.4,84,$24.49,,,,,,,,,,,,,,
Age of Invisible Machines,A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers,Robb Wilson,1119899923,978-1119899921,2022-09-27,1,No,No,4.4,84,$24.49,,,,,,,,,,,,,,
Python,The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),Maurice J. Thompson,1980953902,978-1980953906,2018-04-28,1,No,No,4.3,4600,$27.97,,,,,,,,,,,,,,
Python,2 Manuscripts in 1 book: -Python For Beginners -Python 3 Guide,Timothy C. Needham,1728913489,978-1728913483,2018-10-17,1,No,No,4.1,269,$24.95,,,,,,,,,,,,,,
Python,For Beginners: A Crash Course Guide To Learn Python in 1 Week, Timothy C. Needham,1549776673,978-0679722014,2017-09-21,1,No,No,4.3,3642,$14.46,,,,,,,,,,,,,,
Hands on Hacking,Become an Expert at Next Gen Penetration Testing and Purple Teaming,Matthew Hickey,1119561450,978-1119561453,2020-08-20,1,No,No,4.7,453,$24.99,,,,,,,,,,,,,,
Hands on Hacking,Become an Expert at Next Gen Penetration Testing and Purple Teaming, Matthew Hickey,1119561450,978-1119561453,2020-08-20,1,No,No,4.7,453,$24.99,,,,,,,,,,,,,,
Linux for Beginners,A Practical and Comprehensive Guide to Learn Linux Operating System and Master Linux Command Line. Contains Self-Evaluation Tests to Verify Your Learning Level,Ethem Mining,1671228081,978-1671228085,2019-12-03,1,No,No,4.3,364,$16.99,,,,,,,,,,,,,,
Linux for Beginners,Why You're Not Using Linux yet and How to Overcome Command Line Fear, Nathan Clark,,979-8581926437,2020-12-15,1,No,No,4.4,238,$19.99,,,,,,,,,,,,,,
Linux for Beginners, Practical and Comprehensive Guide to Learn Linux Operating System and Master Linux Command Line. Contains Self-Evaluation Tests to Verify Your Learning Level,Ethem Mining,1671228081,978-1671228085,2019-12-03,1,No,No,4.3,364,$16.90,,,,,,,,,,,,,,
Linux For Beginners,"The Basics Of Kali Linux Operating System. Essentials For Installation, Configuration And Command Line And A Precise Guide About ... And Hacking Tools (Linux Bible)",Darwin Growth,,979-8378297627,2023-02-20,1,NO,NO,4.9,1234,$9.99,,,,,,,,,,,,,,
Raspberry Pi Operating System Assembly Language,, Bruce Smith,0648098737,978-0648098737,2021-03-18,1,No,No,$4.40 ,36,$19.99,,,,,,,,,,,,,,
Raspberry Pi Operating System Assembly Language,,Bruce Smith,0648098737,978-0648098737,2021-03-18,1,No,No,4.4,36,$19.99,,,,,,,,,,,,,,
Guide to Signals and Interlockings,, Dave Abeles,162700825X,978-1627008259,2021-03-22,1,No,No,4.6,117,$18.60,,,,,,,,,,,,,,
Guide to Signals and Interlockings,,Dave Abeles,162700825X,978-1627008259,2021-03-22,1,No,No,4.6,117,$18.60,,,,,,,,,,,,,,
Active Directory Administration Cookbook,"Proven solutions to everyday identity and authentication challenges for both on-premises and the cloud, 2nd Edition", Sander Berkouwer,1803242507,978-1803242507,2022-07-15,2,No,No,5,6,$49.99,,,,,,,,,,,,,,
Active Directory Administration Cookbook,"Actionable, proven solutions to identity management and authentication on servers and in the cloud",Sander Berkouwer,1789806984,978-1789806984,2019-05-03,1,No,No,4.7,48,$69.99,,,,,,,,,,,,,,
Mastering Microsoft Endpoint Manager,"Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs", Christiaan Brinkhoff,1801078998,978-1801078993,2021-10-07,1,No,No,4.7,108,$40.63,,,,,,,,,,,,,,
Mastering Microsoft Endpoint Manager,"Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs",Christiaan Brinkhoff,1801078998,978-1801078993,2021-10-07,1,No,No,4.7,108,$40.63,,,,,,,,,,,,,,
PHP and Algorithmic Thinking for the Complete Beginner (2nd Edition),Learn to Think Like a Programmer, Aristides S Bouras,,,,1,No,No,,,,,,,,,,,,,,,,,
PHP and Algorithmic Thinking for the Complete Beginner (2nd Edition),Learn to Think Like a Programmer, Aristides S Bouras ,,979-8657362534,2020-07-03,1,No,No,4.7,13,$39.99,,,,,,,,,,,,,,
Learn Multiplatform Assembly Programming with ChibiAkumas,Volume 2!,Keith 'Akuyou',,979-8428314304,2022-03-17,1,No,No,4.8,31,$18.99,,,,,,,,,,,,,,
Learn Multiplatform Assembly Programming with ChibiAkumas!,,Keith 'Akuyou',,979-8847743914,2022-11-05,1,No,No,4.6,147,$9.99,,,,,,,,,,,,,,
Building a StoryBrand,Clarify Your Message So Customers Will Listen,Donald Miller,,978-1400201839,2017-10-10,1,Yes,No,4.7,"9,112",$15.00,,,,,,,,,,,,,,
Building a StoryBrand:,Clarify Your Message So Customers Will Listen,Donald Miller,718033329,978-0718033323,2017-10-10,1,no,No,4.7,9112,$15.00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
